tree id,number of nodes,entropy
0,25,2.776719749349934
1,24,2.7507760929515817
2,24,2.7613300980627415
3,24,2.7656935700436827
4,24,2.7561908909180874
5,24,2.7465355362553137
6,24,2.7673592468750106
7,24,2.7673592468750106
8,24,2.7644549840671355
9,24,2.7507760929515817
10,24,2.7521902187843366
11,24,2.7521902187843366
12,24,2.7486382419251627
13,24,2.760224365354609
14,24,2.7532866281102124
15,24,2.7561908909180874
16,24,2.7613300980627415
17,24,2.7626471305851354
18,24,2.7613300980627415
19,24,2.758383148667075
20,24,2.754667390737432
21,24,2.7502161488283865
22,24,2.7673592468750106
23,24,2.759060626959671
24,24,2.7478466267596735
25,24,2.7521902187843366
26,23,2.751969595587818
27,23,2.753428804760884
28,23,2.756333067568759
29,23,2.75030391875649
30,23,2.751620951278884
31,23,2.75030391875649
32,23,2.7550944815922116
33,23,2.7508638628796853
34,23,2.757998744400087
35,23,2.7508638628796858
36,23,2.7519695955878176
37,23,2.753286628110212
38,23,2.751969595587817
39,23,2.7497001244847477
40,23,2.7550944815922116
41,23,2.7508638628796853
42,23,2.751969595587818
43,23,2.757998744400087
44,23,2.750382365302337
45,23,2.7550944815922116
46,23,2.7508638628796853
47,23,2.7519695955878176
48,23,2.753286628110212
49,23,2.751969595587817
50,23,2.7497001244847477
51,22,2.739704830305019
52,22,2.7440683022859607
53,22,2.7393561859960855
54,22,2.738039153473691
55,22,2.737612062618912
56,22,2.7409434162815662
57,22,2.737612062618912
58,22,2.745733979117288
59,22,2.7385990975968864
60,22,2.738599097596887
61,22,2.741021862827413
62,22,2.7397048303050187
63,22,2.741503360404761
64,22,2.7415033604047614
65,22,2.7426090931128937
66,22,2.7378969768230195
67,22,2.738599097596887
68,22,2.745733979117288
69,22,2.7385990975968855
70,22,2.741503360404761
71,22,2.7426090931128937
72,22,2.741021862827413
73,22,2.7385990975968864
74,22,2.7397048303050187
75,22,2.7378969768230195
76,21,2.7232094463096943
77,21,2.725347297336113
78,21,2.7253472973361133
79,21,2.723539443854114
80,21,2.7253472973361133
81,21,2.7222224113317193
82,21,2.7222224113317193
83,21,2.7222224113317193
84,21,2.729238595121963
85,21,2.729238595121963
86,21,2.722300857877566
87,21,2.7245264788320878
88,21,2.723209446309694
89,21,2.724526478832088
90,21,2.723209446309694
91,21,2.726113709117569
92,21,2.7261137091175693
93,21,2.729238595121963
94,21,2.7263343323140874
95,21,2.725205120685441
96,21,2.7223008578775656
97,21,2.723209446309694
98,21,2.726113709117569
99,21,2.7245264788320878
100,21,2.723209446309694
101,20,2.704818438904266
102,20,2.706626292386266
103,20,2.7032949387236105
104,20,2.704818438904266
105,20,2.7035014063818714
106,20,2.7032949387236105
107,20,2.703294938723611
108,20,2.7058054738822412
109,20,2.703294938723611
110,20,2.703294938723611
111,20,2.7032949387236105
112,20,2.7032949387236105
113,20,2.703294938723611
114,20,2.7039976204002416
115,20,2.702680587877847
116,20,2.703997620400241
117,20,2.702680587877847
118,20,2.702680587877847
119,20,2.7032949387236105
120,20,2.703294938723611
121,20,2.705805473882241
122,20,2.7032949387236105
123,20,2.704818438904266
124,20,2.7048184389042667
125,20,2.703997620400241
126,20,2.702680587877847
127,19,2.678874782505914
128,19,2.681385317664544
129,19,2.6788747825059143
130,19,2.6806826359879135
131,19,2.678544784961494
132,19,2.678544784961495
133,19,2.6806826359879135
134,19,2.6806826359879135
135,19,2.678874782505914
136,19,2.678874782505914
137,19,2.679861817483889
138,19,2.679861817483889
139,19,2.6798618174838884
140,19,2.680564499160519
141,19,2.6792474666381247
142,19,2.6798618174838884
143,19,2.679861817483889
144,19,2.6798618174838884
145,19,2.678874782505914
146,19,2.681385317664544
147,19,2.6788747825059143
148,19,2.6788747825059143
149,19,2.6788747825059143
150,19,2.6805644991605186
151,19,2.6792474666381247
152,18,2.6554416612661917
153,18,2.6554416612661917
154,18,2.653303810239773
155,18,2.6526011285631417
156,18,2.654738979589561
157,18,2.652601128563142
158,18,2.652601128563142
159,18,2.6526011285631426
160,18,2.654738979589561
161,18,2.6539181610855365
162,18,2.653918161085536
163,18,2.6546208427621667
164,18,2.6546208427621667
165,18,2.652482991735748
166,18,2.653303810239773
167,18,2.6533038102397724
168,18,2.6539181610855365
169,18,2.6539181610855365
170,18,2.6554416612661917
171,18,2.6554416612661917
172,18,2.6533038102397724
173,18,2.6546208427621667
174,18,2.6546208427621667
175,18,2.6533038102397724
176,18,2.653303810239773
177,17,2.6238461769459023
178,17,2.6273601538414204
179,17,2.6238461769459023
180,17,2.6238461769459023
181,17,2.6231434952692716
182,17,2.6245196211383712
183,17,2.6266574721647897
184,17,2.6231434952692716
185,17,2.623143495269272
186,17,2.625836653660765
187,17,2.6230253584418772
188,17,2.6230253584418777
189,17,2.6230253584418772
190,17,2.626539335337396
191,17,2.6252223028150015
192,17,2.625836653660765
193,17,2.6238461769459023
194,17,2.6238461769459023
195,17,2.623846176945903
196,17,2.6273601538414204
197,17,2.623025358441877
198,17,2.6230253584418772
199,17,2.6230253584418772
200,17,2.626539335337396
201,17,2.6252223028150015
202,16,2.5849012334914656
203,16,2.5865867902790707
204,16,2.5833777333108103
205,16,2.583746257576021
206,16,2.587367162200904
207,16,2.584198551814835
208,16,2.58588410860244
209,16,2.5833777333108108
210,16,2.5833777333108103
211,16,2.5833777333108108
212,16,2.5833777333108103
213,16,2.5840804149874415
214,16,2.584080414987441
215,16,2.586586790279071
216,16,2.584080414987441
217,16,2.5865867902790707
218,16,2.5852697577566763
219,16,2.585269757756676
220,16,2.5833777333108108
221,16,2.5833777333108108
222,16,2.5833777333108103
223,16,2.584901233491466
224,16,2.586586790279071
225,16,2.5840804149874415
226,16,2.5840804149874415
227,16,2.586586790279071
228,16,2.5852697577566763
229,15,2.540918812960855
230,15,2.5441278699291154
231,15,2.5409188129608555
232,15,2.5412873372260667
233,15,2.5412873372260663
234,15,2.5449082418509485
235,15,2.543425188252485
236,15,2.5409188129608555
237,15,2.5409188129608555
238,15,2.540918812960855
239,15,2.541621494637486
240,15,2.544127869929116
241,15,2.541621494637486
242,15,2.5441278699291154
243,15,2.5428108374067215
244,15,2.5412873372260663
245,15,2.5428108374067215
246,15,2.5412873372260663
247,15,2.5409188129608555
248,15,2.5409188129608555
249,15,2.544127869929116
250,15,2.541621494637486
251,15,2.544127869929116
252,15,2.5428108374067215
253,15,2.541287337226066
254,14,2.4940525704814114
255,14,2.4940525704814114
256,14,2.4965589457730415
257,14,2.4940525704814114
258,14,2.4940525704814114
259,14,2.494484824851448
260,14,2.496558945773041
261,14,2.498828416876111
262,14,2.495422089864974
263,14,2.4980419993715057
264,14,2.4965589457730415
265,14,2.4940525704814114
266,14,2.494052570481412
267,14,2.4940525704814114
268,14,2.4969363924302455
269,14,2.4940525704814114
270,14,2.4940525704814114
271,14,2.494052570481412
272,14,2.4965589457730406
273,14,2.4959445949272774
274,14,2.4988284168761115
275,14,2.4988284168761115
276,14,2.494052570481412
277,14,2.494052570481412
278,14,2.494052570481412
279,14,2.496936392430246
280,14,2.4965589457730415
281,14,2.496558945773041
282,14,2.498828416876111
283,13,2.443249385973042
284,13,2.4432493859730426
285,13,2.442194461023242
286,13,2.4432493859730426
287,13,2.4432493859730426
288,13,2.442194461023242
289,13,2.443677514621706
290,13,2.442194461023242
291,13,2.4432493859730426
292,13,2.4432493859730426
293,13,2.4432493859730426
294,13,2.4432493859730426
295,13,2.443249385973042
296,13,2.442571907680446
297,13,2.4425719076804455
298,13,2.4432493859730426
299,13,2.444463932126312
300,13,2.444463932126312
301,13,2.4432493859730426
302,13,2.4432493859730426
303,13,2.4432493859730426
304,13,2.4432493859730426
305,13,2.4432493859730426
306,13,2.4425719076804455
307,13,2.442194461023242
308,13,2.444463932126312
309,12,2.3856313795049493
310,12,2.3856313795049497
311,12,2.387829976273442
312,12,2.3856313795049497
313,12,2.3856313795049497
314,12,2.386059508153613
315,12,2.3856313795049497
316,12,2.3856313795049497
317,12,2.3856313795049497
318,12,2.3856313795049497
319,12,2.3856313795049493
320,12,2.3856313795049493
321,12,2.3888849012232427
322,12,2.3849539012123526
323,12,2.3849539012123526
324,12,2.3882074229306465
325,12,2.385631379504949
326,12,2.3856313795049493
327,12,2.388884901223243
328,12,2.386845925658219
329,12,2.3856313795049493
330,12,2.3856313795049497
331,12,2.3856313795049493
332,12,2.385631379504949
333,12,2.3888849012232427
334,12,2.387829976273442
335,11,2.3172240402316495
336,11,2.3172240402316495
337,11,2.3172240402316495
338,11,2.3172240402316495
339,11,2.3172240402316495
340,11,2.3172240402316495
341,11,2.31722404023165
342,11,2.3172240402316495
343,11,2.3172240402316495
344,11,2.31722404023165
345,11,2.3172240402316495
346,11,2.325017122746362
347,11,2.3250171227463623
348,11,2.3172240402316495
349,11,2.3172240402316495
350,11,2.3250171227463623
351,11,2.3172240402316495
352,11,2.3243396444537656
353,11,2.3250171227463623
354,11,2.3172240402316495
355,11,2.31722404023165
356,11,2.3172240402316495
357,11,2.325017122746362
358,11,2.3172240402316495
359,11,2.325017122746362
360,10,2.237318950114999
361,10,2.2400369108716984
362,10,2.237318950114999
363,10,2.2400369108716984
364,10,2.2400369108716984
365,10,2.2366748350279373
366,10,2.2366748350279377
367,10,2.2366748350279373
368,10,2.2366748350279377
369,10,2.2400369108716984
370,10,2.2366748350279377
371,10,2.2366748350279373
372,10,2.235997356735341
373,10,2.235997356735341
374,10,2.235997356735341
375,10,2.2366748350279373
376,10,2.2366748350279377
377,10,2.2400369108716984
378,10,2.2400369108716984
379,10,2.2366748350279377
380,10,2.2366748350279377
381,10,2.2400369108716984
382,10,2.2373189501149993
383,10,2.2366748350279373
384,10,2.2366748350279373
